,file_name,strain,time,treatment,ch3_total_vRNAs,ch3_cytosolic_RNAs,ch3_repSites,ch3_mol_per_repSite,ch4_total_vRNAs,ch4_cytosolic_RNAs,ch4_repSites,ch4_mol_per_repSite
3433,CoV-FISH-10_Vero_6h_Vic_INF_R1_00008_ch3_results_cell_1.npz,Vic,6,INF,131,102,7,4.142857143,3,3,0,
2226,CoV-FISH-10_Vero_6h_B117_INF_R1_00003_ch3_results_cell_0.npz,B117,6,INF,50,45,2,2.5,3,3,0,
3405,CoV-FISH-10_Vero_6h_Vic_INF_R1_00004_ch3_results_cell_1.npz,Vic,6,INF,44,44,0,,3,3,0,
3695,CoV-FISH-10_Vero_6h_Vic_INF_R1_00029_ch3_results_cell_5.npz,Vic,6,INF,31,31,0,,3,3,0,
3515,CoV-FISH-10_Vero_6h_Vic_INF_R1_00016_ch3_results_cell_5.npz,Vic,6,INF,30,30,0,,3,3,0,
3247,CoV-FISH-10_Vero_6h_MOCK_R2_00004_ch3_results_cell_3.npz,None,6,MOCK,27,22,1,5,3,3,0,
2577,CoV-FISH-10_Vero_6h_B117_INF_R2_00008_ch3_results_cell_3.npz,B117,6,INF,26,17,1,9,3,3,0,
2204,CoV-FISH-10_Vero_6h_B117_INF_R1_00001_ch3_results_cell_2.npz,B117,6,INF,23,23,0,,3,3,0,
3220,CoV-FISH-10_Vero_6h_MOCK_R2_00001_ch3_results_cell_2.npz,None,6,MOCK,17,17,1,0,3,3,0,
2229,CoV-FISH-10_Vero_6h_B117_INF_R1_00003_ch3_results_cell_3.npz,B117,6,INF,16,16,0,,3,3,0,
2588,CoV-FISH-10_Vero_6h_B117_INF_R2_00009_ch3_results_cell_2.npz,B117,6,INF,12,9,1,3,3,3,0,
2770,CoV-FISH-10_Vero_6h_B117_RDV_R1_00002_ch3_results_cell_4.npz,B117,6,RDV,12,12,0,,3,3,0,
2949,CoV-FISH-10_Vero_6h_B117_RDV_R2_00006_ch3_results_cell_1.npz,B117,6,RDV,12,12,1,0,3,3,0,
2575,CoV-FISH-10_Vero_6h_B117_INF_R2_00008_ch3_results_cell_1.npz,B117,6,INF,9,9,0,,3,3,0,
2520,CoV-FISH-10_Vero_6h_B117_INF_R1_00028_ch3_results_cell_2.npz,B117,6,INF,5,5,0,,3,3,0,
4332,CoV-FISH-10_Vero_6h_Vic_RDV_R3_00001_ch3_results_cell_2.npz,Vic,6,RDV,5,5,0,,3,3,0,
2592,CoV-FISH-10_Vero_6h_B117_INF_R2_00009_ch3_results_cell_6.npz,B117,6,INF,1,1,0,,3,3,0,
3285,CoV-FISH-10_Vero_6h_MOCK_R3_00002_ch3_results_cell_3.npz,None,6,MOCK,0,0,0,,3,3,0,
3406,CoV-FISH-10_Vero_6h_Vic_INF_R1_00004_ch3_results_cell_2.npz,Vic,6,INF,150,62,4,22,2,2,0,
3407,CoV-FISH-10_Vero_6h_Vic_INF_R1_00004_ch3_results_cell_3.npz,Vic,6,INF,103,31,3,24,2,2,0,
2817,CoV-FISH-10_Vero_6h_B117_RDV_R1_00005_ch3_results_cell_1.npz,B117,6,RDV,89,74,5,3,2,2,0,
3592,CoV-FISH-10_Vero_6h_Vic_INF_R1_00022_ch3_results_cell_2.npz,Vic,6,INF,73,55,3,6,2,2,0,
3670,CoV-FISH-10_Vero_6h_Vic_INF_R1_00027_ch3_results_cell_2.npz,Vic,6,INF,59,58,2,0.5,2,2,0,
3604,CoV-FISH-10_Vero_6h_Vic_INF_R1_00023_ch3_results_cell_4.npz,Vic,6,INF,50,50,1,0,2,2,0,
3488,CoV-FISH-10_Vero_6h_Vic_INF_R1_00014_ch3_results_cell_2.npz,Vic,6,INF,48,48,0,,2,2,0,
3504,CoV-FISH-10_Vero_6h_Vic_INF_R1_00015_ch3_results_cell_4.npz,Vic,6,INF,48,44,1,4,2,2,0,
3698,CoV-FISH-10_Vero_6h_Vic_INF_R1_00029_ch3_results_cell_8.npz,Vic,6,INF,44,41,1,3,2,2,0,
3694,CoV-FISH-10_Vero_6h_Vic_INF_R1_00029_ch3_results_cell_4.npz,Vic,6,INF,43,38,2,2.5,2,2,0,
3564,CoV-FISH-10_Vero_6h_Vic_INF_R1_00019_ch3_results_cell_2.npz,Vic,6,INF,37,37,0,,2,2,0,
3582,CoV-FISH-10_Vero_6h_Vic_INF_R1_00021_ch3_results_cell_0.npz,Vic,6,INF,37,28,1,9,2,2,0,
2785,CoV-FISH-10_Vero_6h_B117_RDV_R1_00003_ch3_results_cell_10.npz,B117,6,RDV,36,26,2,5,2,2,0,
3637,CoV-FISH-10_Vero_6h_Vic_INF_R1_00025_ch3_results_cell_10.npz,Vic,6,INF,36,23,1,13,2,2,0,
4093,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00003_ch3_results_cell_3.npz,Vic,6,RDV,32,31,1,1,2,2,0,
2342,CoV-FISH-10_Vero_6h_B117_INF_R1_00011_ch3_results_cell_0.npz,B117,6,INF,27,18,1,9,2,2,0,
3359,CoV-FISH-10_Vero_6h_Vic_INF_R1_00001_ch3_results_cell_5.npz,Vic,6,INF,25,25,1,0,2,2,0,
2353,CoV-FISH-10_Vero_6h_B117_INF_R1_00012_ch3_results_cell_3.npz,B117,6,INF,24,24,0,,2,2,0,
3246,CoV-FISH-10_Vero_6h_MOCK_R2_00004_ch3_results_cell_2.npz,None,6,MOCK,16,12,2,2,2,2,0,
3260,CoV-FISH-10_Vero_6h_MOCK_R2_00005_ch3_results_cell_2.npz,None,6,MOCK,16,13,1,3,2,2,0,
3352,CoV-FISH-10_Vero_6h_Vic_INF_R1_00001_ch3_results_cell_11.npz,Vic,6,INF,16,16,0,,2,2,0,
2866,CoV-FISH-10_Vero_6h_B117_RDV_R1_00008_ch3_results_cell_2.npz,B117,6,RDV,13,13,0,,2,2,0,
2849,CoV-FISH-10_Vero_6h_B117_RDV_R1_00007_ch3_results_cell_3.npz,B117,6,RDV,11,11,0,,2,2,0,
4080,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00002_ch3_results_cell_4.npz,Vic,6,RDV,11,11,0,,2,2,0,
2259,CoV-FISH-10_Vero_6h_B117_INF_R1_00005_ch3_results_cell_3.npz,B117,6,INF,10,10,0,,2,2,0,
2272,CoV-FISH-10_Vero_6h_B117_INF_R1_00006_ch3_results_cell_4.npz,B117,6,INF,10,10,0,,2,2,0,
2352,CoV-FISH-10_Vero_6h_B117_INF_R1_00012_ch3_results_cell_2.npz,B117,6,INF,10,10,0,,2,2,0,
3677,CoV-FISH-10_Vero_6h_Vic_INF_R1_00028_ch3_results_cell_1.npz,Vic,6,INF,10,10,0,,2,2,0,
3249,CoV-FISH-10_Vero_6h_MOCK_R2_00004_ch3_results_cell_5.npz,None,6,MOCK,9,9,0,,2,2,0,
3396,CoV-FISH-10_Vero_6h_Vic_INF_R1_00003_ch3_results_cell_2.npz,Vic,6,INF,9,9,0,,2,2,0,
4108,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00005_ch3_results_cell_2.npz,Vic,6,RDV,9,9,0,,2,2,0,
2766,CoV-FISH-10_Vero_6h_B117_RDV_R1_00002_ch3_results_cell_0.npz,B117,6,RDV,8,8,1,0,2,2,0,
2261,CoV-FISH-10_Vero_6h_B117_INF_R1_00005_ch3_results_cell_5.npz,B117,6,INF,7,7,0,,2,2,0,
2350,CoV-FISH-10_Vero_6h_B117_INF_R1_00012_ch3_results_cell_0.npz,B117,6,INF,7,7,0,,2,2,0,
2482,CoV-FISH-10_Vero_6h_B117_INF_R1_00025_ch3_results_cell_0.npz,B117,6,INF,7,7,0,,2,2,0,
2852,CoV-FISH-10_Vero_6h_B117_RDV_R1_00007_ch3_results_cell_6.npz,B117,6,RDV,7,7,0,,2,2,0,
2217,CoV-FISH-10_Vero_6h_B117_INF_R1_00002_ch3_results_cell_5.npz,B117,6,INF,6,6,0,,2,2,0,
2454,CoV-FISH-10_Vero_6h_B117_INF_R1_00020_ch3_results_cell_4.npz,B117,6,INF,6,6,0,,2,2,0,
3273,CoV-FISH-10_Vero_6h_MOCK_R3_00001_ch3_results_cell_1.npz,None,6,MOCK,6,6,0,,2,2,0,
2231,CoV-FISH-10_Vero_6h_B117_INF_R1_00003_ch3_results_cell_5.npz,B117,6,INF,5,5,0,,2,2,0,
2698,CoV-FISH-10_Vero_6h_B117_INF_R3_00009_ch3_results_cell_0.npz,B117,6,INF,5,5,0,,2,2,0,
3231,CoV-FISH-10_Vero_6h_MOCK_R2_00003_ch3_results_cell_1.npz,None,6,MOCK,5,5,0,,2,2,0,
2767,CoV-FISH-10_Vero_6h_B117_RDV_R1_00002_ch3_results_cell_1.npz,B117,6,RDV,4,4,0,,2,2,0,
3305,CoV-FISH-10_Vero_6h_MOCK_R3_00003_ch3_results_cell_3.npz,None,6,MOCK,3,3,0,,2,2,0,
3306,CoV-FISH-10_Vero_6h_MOCK_R3_00003_ch3_results_cell_4.npz,None,6,MOCK,3,3,0,,2,2,0,
3336,CoV-FISH-10_Vero_6h_MOCK_R3_00005_ch3_results_cell_6.npz,None,6,MOCK,3,3,0,,2,2,0,
3272,CoV-FISH-10_Vero_6h_MOCK_R3_00001_ch3_results_cell_0.npz,None,6,MOCK,2,2,0,,2,2,0,
3307,CoV-FISH-10_Vero_6h_MOCK_R3_00003_ch3_results_cell_5.npz,None,6,MOCK,2,2,0,,2,2,0,
3289,CoV-FISH-10_Vero_6h_MOCK_R3_00002_ch3_results_cell_7.npz,None,6,MOCK,1,1,0,,2,2,0,
2950,CoV-FISH-10_Vero_6h_B117_RDV_R2_00006_ch3_results_cell_2.npz,B117,6,RDV,0,0,0,,2,2,0,
4058,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00001_ch3_results_cell_2.npz,Vic,6,RDV,79,79,1,0,1,1,0,
3398,CoV-FISH-10_Vero_6h_Vic_INF_R1_00003_ch3_results_cell_4.npz,Vic,6,INF,70,43,1,27,1,1,0,
3668,CoV-FISH-10_Vero_6h_Vic_INF_R1_00027_ch3_results_cell_0.npz,Vic,6,INF,48,48,0,,1,1,0,
2246,CoV-FISH-10_Vero_6h_B117_INF_R1_00004_ch3_results_cell_6.npz,B117,6,INF,40,33,1,7,1,1,0,
4077,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00002_ch3_results_cell_1.npz,Vic,6,RDV,36,30,1,6,1,1,0,
4078,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00002_ch3_results_cell_2.npz,Vic,6,RDV,35,35,1,0,1,1,0,
3513,CoV-FISH-10_Vero_6h_Vic_INF_R1_00016_ch3_results_cell_3.npz,Vic,6,INF,34,34,0,,1,1,0,
4167,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00010_ch3_results_cell_1.npz,Vic,6,RDV,34,27,1,7,1,1,0,
3226,CoV-FISH-10_Vero_6h_MOCK_R2_00002_ch3_results_cell_2.npz,None,6,MOCK,29,18,2,5.5,1,1,0,
3623,CoV-FISH-10_Vero_6h_Vic_INF_R1_00024_ch3_results_cell_8.npz,Vic,6,INF,27,27,0,,1,1,0,
2758,CoV-FISH-10_Vero_6h_B117_RDV_R1_00001_ch3_results_cell_6.npz,B117,6,RDV,26,24,1,2,1,1,0,
3622,CoV-FISH-10_Vero_6h_Vic_INF_R1_00024_ch3_results_cell_7.npz,Vic,6,INF,26,26,0,,1,1,0,
4107,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00005_ch3_results_cell_1.npz,Vic,6,RDV,25,25,0,,1,1,0,
2508,CoV-FISH-10_Vero_6h_B117_INF_R1_00027_ch3_results_cell_2.npz,B117,6,INF,24,24,0,,1,1,0,
3591,CoV-FISH-10_Vero_6h_Vic_INF_R1_00022_ch3_results_cell_1.npz,Vic,6,INF,22,20,1,2,1,1,0,
3551,CoV-FISH-10_Vero_6h_Vic_INF_R1_00018_ch3_results_cell_7.npz,Vic,6,INF,19,19,0,,1,1,0,
2227,CoV-FISH-10_Vero_6h_B117_INF_R1_00003_ch3_results_cell_1.npz,B117,6,INF,18,18,1,0,1,1,0,
3503,CoV-FISH-10_Vero_6h_Vic_INF_R1_00015_ch3_results_cell_3.npz,Vic,6,INF,18,18,0,,1,1,0,
3645,CoV-FISH-10_Vero_6h_Vic_INF_R1_00025_ch3_results_cell_8.npz,Vic,6,INF,18,18,0,,1,1,0,
2407,CoV-FISH-10_Vero_6h_B117_INF_R1_00016_ch3_results_cell_7.npz,B117,6,INF,17,17,0,,1,1,0,
3323,CoV-FISH-10_Vero_6h_MOCK_R3_00004_ch3_results_cell_3.npz,None,6,MOCK,16,14,1,2,1,1,0,
3682,CoV-FISH-10_Vero_6h_Vic_INF_R1_00028_ch3_results_cell_6.npz,Vic,6,INF,16,16,0,,1,1,0,
2213,CoV-FISH-10_Vero_6h_B117_INF_R1_00002_ch3_results_cell_1.npz,B117,6,INF,14,14,0,,1,1,0,
3404,CoV-FISH-10_Vero_6h_Vic_INF_R1_00004_ch3_results_cell_0.npz,Vic,6,INF,14,14,0,,1,1,0,
3602,CoV-FISH-10_Vero_6h_Vic_INF_R1_00023_ch3_results_cell_2.npz,Vic,6,INF,13,13,0,,1,1,0,
4170,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00010_ch3_results_cell_4.npz,Vic,6,RDV,13,13,0,,1,1,0,
2406,CoV-FISH-10_Vero_6h_B117_INF_R1_00016_ch3_results_cell_6.npz,B117,6,INF,12,12,0,,1,1,0,
2807,CoV-FISH-10_Vero_6h_B117_RDV_R1_00004_ch3_results_cell_1.npz,B117,6,RDV,12,12,0,,1,1,0,
2756,CoV-FISH-10_Vero_6h_B117_RDV_R1_00001_ch3_results_cell_4.npz,B117,6,RDV,11,11,0,,1,1,0,
2787,CoV-FISH-10_Vero_6h_B117_RDV_R1_00003_ch3_results_cell_2.npz,B117,6,RDV,11,11,0,,1,1,0,
3350,CoV-FISH-10_Vero_6h_Vic_INF_R1_00001_ch3_results_cell_0.npz,Vic,6,INF,11,11,0,,1,1,0,
3512,CoV-FISH-10_Vero_6h_Vic_INF_R1_00016_ch3_results_cell_2.npz,Vic,6,INF,11,11,0,,1,1,0,
4172,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00010_ch3_results_cell_6.npz,Vic,6,RDV,11,11,0,,1,1,0,
3233,CoV-FISH-10_Vero_6h_MOCK_R2_00003_ch3_results_cell_3.npz,None,6,MOCK,10,10,0,,1,1,0,
3245,CoV-FISH-10_Vero_6h_MOCK_R2_00004_ch3_results_cell_1.npz,None,6,MOCK,10,10,0,,1,1,0,
3489,CoV-FISH-10_Vero_6h_Vic_INF_R1_00014_ch3_results_cell_3.npz,Vic,6,INF,10,10,0,,1,1,0,
2335,CoV-FISH-10_Vero_6h_B117_INF_R1_00010_ch3_results_cell_5.npz,B117,6,INF,9,9,0,,1,1,0,
2834,CoV-FISH-10_Vero_6h_B117_RDV_R1_00006_ch3_results_cell_2.npz,B117,6,RDV,9,9,0,,1,1,0,
3362,CoV-FISH-10_Vero_6h_Vic_INF_R1_00001_ch3_results_cell_8.npz,Vic,6,INF,9,9,0,,1,1,0,
3524,CoV-FISH-10_Vero_6h_Vic_INF_R1_00017_ch3_results_cell_1.npz,Vic,6,INF,9,9,0,,1,1,0,
3545,CoV-FISH-10_Vero_6h_Vic_INF_R1_00018_ch3_results_cell_1.npz,Vic,6,INF,9,9,0,,1,1,0,
4159,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00009_ch3_results_cell_1.npz,Vic,6,RDV,9,9,0,,1,1,0,
2296,CoV-FISH-10_Vero_6h_B117_INF_R1_00008_ch3_results_cell_2.npz,B117,6,INF,8,8,0,,1,1,0,
2496,CoV-FISH-10_Vero_6h_B117_INF_R1_00026_ch3_results_cell_2.npz,B117,6,INF,8,8,1,0,1,1,0,
2886,CoV-FISH-10_Vero_6h_B117_RDV_R1_00009_ch3_results_cell_6.npz,B117,6,RDV,8,8,0,,1,1,0,
3274,CoV-FISH-10_Vero_6h_MOCK_R3_00001_ch3_results_cell_2.npz,None,6,MOCK,8,8,0,,1,1,0,
3361,CoV-FISH-10_Vero_6h_Vic_INF_R1_00001_ch3_results_cell_7.npz,Vic,6,INF,8,8,0,,1,1,0,
3527,CoV-FISH-10_Vero_6h_Vic_INF_R1_00017_ch3_results_cell_4.npz,Vic,6,INF,8,8,0,,1,1,0,
4109,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00005_ch3_results_cell_3.npz,Vic,6,RDV,8,8,0,,1,1,0,
4160,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00009_ch3_results_cell_2.npz,Vic,6,RDV,8,8,0,,1,1,0,
2242,CoV-FISH-10_Vero_6h_B117_INF_R1_00004_ch3_results_cell_2.npz,B117,6,INF,7,7,0,,1,1,0,
2247,CoV-FISH-10_Vero_6h_B117_INF_R1_00004_ch3_results_cell_7.npz,B117,6,INF,7,7,0,,1,1,0,
2820,CoV-FISH-10_Vero_6h_B117_RDV_R1_00005_ch3_results_cell_4.npz,B117,6,RDV,7,7,0,,1,1,0,
2847,CoV-FISH-10_Vero_6h_B117_RDV_R1_00007_ch3_results_cell_1.npz,B117,6,RDV,7,7,0,,1,1,0,
3276,CoV-FISH-10_Vero_6h_MOCK_R3_00001_ch3_results_cell_4.npz,None,6,MOCK,7,7,0,,1,1,0,
3593,CoV-FISH-10_Vero_6h_Vic_INF_R1_00022_ch3_results_cell_3.npz,Vic,6,INF,7,7,0,,1,1,0,
3662,CoV-FISH-10_Vero_6h_Vic_INF_R1_00026_ch3_results_cell_4.npz,Vic,6,INF,7,7,0,,1,1,0,
4120,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00006_ch3_results_cell_2.npz,Vic,6,RDV,6,4,1,2,1,1,0,
4079,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00002_ch3_results_cell_3.npz,Vic,6,RDV,5,5,0,,1,1,0,
4168,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00010_ch3_results_cell_2.npz,Vic,6,RDV,5,5,0,,1,1,0,
2216,CoV-FISH-10_Vero_6h_B117_INF_R1_00002_ch3_results_cell_4.npz,B117,6,INF,4,4,0,,1,1,0,
2297,CoV-FISH-10_Vero_6h_B117_INF_R1_00008_ch3_results_cell_3.npz,B117,6,INF,4,4,0,,1,1,0,
2369,CoV-FISH-10_Vero_6h_B117_INF_R1_00013_ch3_results_cell_7.npz,B117,6,INF,4,4,0,,1,1,0,
2392,CoV-FISH-10_Vero_6h_B117_INF_R1_00015_ch3_results_cell_2.npz,B117,6,INF,3,3,0,,1,1,0,
2486,CoV-FISH-10_Vero_6h_B117_INF_R1_00025_ch3_results_cell_4.npz,B117,6,INF,3,3,0,,1,1,0,
2507,CoV-FISH-10_Vero_6h_B117_INF_R1_00027_ch3_results_cell_1.npz,B117,6,INF,3,3,0,,1,1,0,
2519,CoV-FISH-10_Vero_6h_B117_INF_R1_00028_ch3_results_cell_1.npz,B117,6,INF,3,3,0,,1,1,0,
2821,CoV-FISH-10_Vero_6h_B117_RDV_R1_00005_ch3_results_cell_5.npz,B117,6,RDV,3,3,0,,1,1,0,
3230,CoV-FISH-10_Vero_6h_MOCK_R2_00003_ch3_results_cell_0.npz,None,6,MOCK,3,3,0,,1,1,0,
3322,CoV-FISH-10_Vero_6h_MOCK_R3_00004_ch3_results_cell_2.npz,None,6,MOCK,3,3,0,,1,1,0,
3334,CoV-FISH-10_Vero_6h_MOCK_R3_00005_ch3_results_cell_4.npz,None,6,MOCK,3,3,0,,1,1,0,
3716,CoV-FISH-10_Vero_6h_Vic_INF_R1_00030_ch3_results_cell_8.npz,Vic,6,INF,3,3,0,,1,1,0,
2354,CoV-FISH-10_Vero_6h_B117_INF_R1_00012_ch3_results_cell_4.npz,B117,6,INF,2,2,0,,1,1,0,
2404,CoV-FISH-10_Vero_6h_B117_INF_R1_00016_ch3_results_cell_4.npz,B117,6,INF,2,2,0,,1,1,0,
2885,CoV-FISH-10_Vero_6h_B117_RDV_R1_00009_ch3_results_cell_5.npz,B117,6,RDV,2,2,0,,1,1,0,
3339,CoV-FISH-10_Vero_6h_MOCK_R3_00005_ch3_results_cell_9.npz,None,6,MOCK,2,2,0,,1,1,0,
3356,CoV-FISH-10_Vero_6h_Vic_INF_R1_00001_ch3_results_cell_2.npz,Vic,6,INF,2,2,0,,1,1,0,
3522,CoV-FISH-10_Vero_6h_Vic_INF_R1_00017_ch3_results_cell_0.npz,Vic,6,INF,2,2,0,,1,1,0,
3550,CoV-FISH-10_Vero_6h_Vic_INF_R1_00018_ch3_results_cell_6.npz,Vic,6,INF,2,2,0,,1,1,0,
3565,CoV-FISH-10_Vero_6h_Vic_INF_R1_00019_ch3_results_cell_3.npz,Vic,6,INF,2,2,0,,1,1,0,
3617,CoV-FISH-10_Vero_6h_Vic_INF_R1_00024_ch3_results_cell_2.npz,Vic,6,INF,2,2,0,,1,1,0,
2212,CoV-FISH-10_Vero_6h_B117_INF_R1_00002_ch3_results_cell_0.npz,B117,6,INF,1,1,0,,1,1,0,
3244,CoV-FISH-10_Vero_6h_MOCK_R2_00004_ch3_results_cell_0.npz,None,6,MOCK,1,1,0,,1,1,0,
2900,CoV-FISH-10_Vero_6h_B117_RDV_R1_00010_ch3_results_cell_2.npz,B117,6,RDV,0,0,0,,1,1,0,
3353,CoV-FISH-10_Vero_6h_Vic_INF_R1_00001_ch3_results_cell_12.npz,Vic,6,INF,0,0,0,,1,1,0,
3575,CoV-FISH-10_Vero_6h_Vic_INF_R1_00020_ch3_results_cell_3.npz,Vic,6,INF,62,41,1,21,0,0,0,
3263,CoV-FISH-10_Vero_6h_MOCK_R2_00005_ch3_results_cell_5.npz,None,6,MOCK,45,23,2,11,0,0,0,
3572,CoV-FISH-10_Vero_6h_Vic_INF_R1_00020_ch3_results_cell_0.npz,Vic,6,INF,42,30,1,12,0,0,0,
3640,CoV-FISH-10_Vero_6h_Vic_INF_R1_00025_ch3_results_cell_3.npz,Vic,6,INF,39,34,2,2.5,0,0,0,
4100,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00004_ch3_results_cell_2.npz,Vic,6,RDV,38,35,2,1.5,0,0,0,
3646,CoV-FISH-10_Vero_6h_Vic_INF_R1_00025_ch3_results_cell_9.npz,Vic,6,INF,33,17,2,8,0,0,0,
3397,CoV-FISH-10_Vero_6h_Vic_INF_R1_00003_ch3_results_cell_3.npz,Vic,6,INF,29,29,0,,0,0,0,
3676,CoV-FISH-10_Vero_6h_Vic_INF_R1_00028_ch3_results_cell_0.npz,Vic,6,INF,27,27,0,,0,0,0,
2865,CoV-FISH-10_Vero_6h_B117_RDV_R1_00008_ch3_results_cell_1.npz,B117,6,RDV,26,26,0,,0,0,0,
3378,CoV-FISH-10_Vero_6h_Vic_INF_R1_00002_ch3_results_cell_0.npz,Vic,6,INF,26,26,0,,0,0,0,
2793,CoV-FISH-10_Vero_6h_B117_RDV_R1_00003_ch3_results_cell_8.npz,B117,6,RDV,24,15,1,9,0,0,0,
2518,CoV-FISH-10_Vero_6h_B117_INF_R1_00028_ch3_results_cell_0.npz,B117,6,INF,23,23,1,0,0,0,0,
3232,CoV-FISH-10_Vero_6h_MOCK_R2_00003_ch3_results_cell_2.npz,None,6,MOCK,21,18,1,3,0,0,0,
3446,CoV-FISH-10_Vero_6h_Vic_INF_R1_00011_ch3_results_cell_2.npz,Vic,6,INF,21,21,0,,0,0,0,
2816,CoV-FISH-10_Vero_6h_B117_RDV_R1_00005_ch3_results_cell_0.npz,B117,6,RDV,19,19,1,0,0,0,0,
3549,CoV-FISH-10_Vero_6h_Vic_INF_R1_00018_ch3_results_cell_5.npz,Vic,6,INF,19,9,1,10,0,0,0,
4090,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00003_ch3_results_cell_0.npz,Vic,6,RDV,19,10,1,9,0,0,0,
2313,CoV-FISH-10_Vero_6h_B117_INF_R1_00009_ch3_results_cell_4.npz,B117,6,INF,18,16,2,1,0,0,0,
4118,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00006_ch3_results_cell_0.npz,Vic,6,RDV,18,18,0,,0,0,0,
2393,CoV-FISH-10_Vero_6h_B117_INF_R1_00015_ch3_results_cell_3.npz,B117,6,INF,17,17,0,,0,0,0,
3441,CoV-FISH-10_Vero_6h_Vic_INF_R1_00010_ch3_results_cell_1.npz,Vic,6,INF,17,5,1,12,0,0,0,
2864,CoV-FISH-10_Vero_6h_B117_RDV_R1_00008_ch3_results_cell_0.npz,B117,6,RDV,15,15,1,0,0,0,0,
3455,CoV-FISH-10_Vero_6h_Vic_INF_R1_00012_ch3_results_cell_1.npz,Vic,6,INF,15,15,0,,0,0,0,
2791,CoV-FISH-10_Vero_6h_B117_RDV_R1_00003_ch3_results_cell_6.npz,B117,6,RDV,14,14,0,,0,0,0,
2823,CoV-FISH-10_Vero_6h_B117_RDV_R1_00005_ch3_results_cell_7.npz,B117,6,RDV,14,14,0,,0,0,0,
3290,CoV-FISH-10_Vero_6h_MOCK_R3_00002_ch3_results_cell_8.npz,None,6,MOCK,14,14,0,,0,0,0,
3492,CoV-FISH-10_Vero_6h_Vic_INF_R1_00014_ch3_results_cell_6.npz,Vic,6,INF,14,14,0,,0,0,0,
3258,CoV-FISH-10_Vero_6h_MOCK_R2_00005_ch3_results_cell_0.npz,None,6,MOCK,13,7,1,6,0,0,0,
3461,CoV-FISH-10_Vero_6h_Vic_INF_R1_00012_ch3_results_cell_7.npz,Vic,6,INF,13,13,0,,0,0,0,
4101,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00004_ch3_results_cell_3.npz,Vic,6,RDV,13,13,0,,0,0,0,
4138,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00007_ch3_results_cell_6.npz,Vic,6,RDV,13,13,0,,0,0,0,
2390,CoV-FISH-10_Vero_6h_B117_INF_R1_00015_ch3_results_cell_0.npz,B117,6,INF,12,12,0,,0,0,0,
3282,CoV-FISH-10_Vero_6h_MOCK_R3_00002_ch3_results_cell_0.npz,None,6,MOCK,12,8,1,4,0,0,0,
3546,CoV-FISH-10_Vero_6h_Vic_INF_R1_00018_ch3_results_cell_2.npz,Vic,6,INF,12,12,1,0,0,0,0,
3680,CoV-FISH-10_Vero_6h_Vic_INF_R1_00028_ch3_results_cell_4.npz,Vic,6,INF,12,12,0,,0,0,0,
4061,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00001_ch3_results_cell_5.npz,Vic,6,RDV,12,12,0,,0,0,0,
4134,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00007_ch3_results_cell_2.npz,Vic,6,RDV,12,12,0,,0,0,0,
2495,CoV-FISH-10_Vero_6h_B117_INF_R1_00026_ch3_results_cell_1.npz,B117,6,INF,11,11,0,,0,0,0,
2838,CoV-FISH-10_Vero_6h_B117_RDV_R1_00006_ch3_results_cell_6.npz,B117,6,RDV,11,11,1,0,0,0,0,
3380,CoV-FISH-10_Vero_6h_Vic_INF_R1_00002_ch3_results_cell_2.npz,Vic,6,INF,11,11,0,,0,0,0,
3409,CoV-FISH-10_Vero_6h_Vic_INF_R1_00004_ch3_results_cell_5.npz,Vic,6,INF,11,11,0,,0,0,0,
3410,CoV-FISH-10_Vero_6h_Vic_INF_R1_00004_ch3_results_cell_6.npz,Vic,6,INF,11,11,0,,0,0,0,
3525,CoV-FISH-10_Vero_6h_Vic_INF_R1_00017_ch3_results_cell_2.npz,Vic,6,INF,11,11,0,,0,0,0,
4124,CoV-FISH-10_Vero_6h_Vic_RDV_R1_00006_ch3_results_cell_6.npz,Vic,6,RDV,11,11,0,,0,0,0,
2368,CoV-FISH-10_Vero_6h_B117_INF_R1_00013_ch3_results_cell_6.npz,B117,6,INF,10,9,1,1,0,0,0,
